gene	log2fc_fudan	n_pairs_fudan	pval_fudan
ATP6V0D1	-0.30513805029949814	27	0.6789510101079941
ATP6V1A	0.6423261178139569	28	0.008224666118621826
ATP6V1B2	-0.10531001568068957	28	0.13751810044050217
ATP6V1C1	1.0622115199429625	17	0.1323699951171875
ATP6V1D	-0.6374919693461469	27	0.1698138564825058
ATP6V1E1	0.19378578914782466	19	0.5677604675292969
ATP6V1F	0.33979209615375505	26	0.014006495475769043
ATP6V1G1	0.8287958599793546	27	0.010378450155258179
ATP6V1H	0.34753310744601307	28	0.27407141774892807
ATP7A	-0.8138524795227682	12	0.00244140625
ATP8A1	0.3196201970483611	10	0.322265625
ATP8B1	-0.6186485148282714	24	0.15150094032287598
ATP9A	0.7647640465097783	25	0.00963503122329712
ATPAF1	0.15992345550191722	12	0.4697265625
ATPAF2	-0.2376354834503817	18	0.7018814086914062
ATXN10	0.524341976496087	25	0.034173786640167236
ATXN2L	0.39671574402163096	19	0.37359619140625
ATXN3	-0.3147919950988068	8	0.25
AUH	0.32814198673691203	26	0.2913762927055359
AUP1	1.9038499365556358	7	0.21875
AVL9	0.8924724130420884	23	0.01955723762512207
AZGP1	1.1855216516139642	19	0.14468765258789062
AZU1	1.4483240842634344	6	0.3125
B2M	-0.6050687109449036	28	0.43800119310617447
B3GALT5	-1.0227527867961224	11	0.0830078125
B3GALTL	0.11181618075053251	5	
B3GAT3	0.49954404732824864	6	0.84375
B3GNT3	1.223878236378503	17	0.030517578125
B3GNT6	-0.8198094202823837	15	0.03533935546875
B4GALT1	1.0990152454920554	25	0.0011548399925231934
BAG2	1.2364608335484557	28	0.0005833879113197327
BAG3	0.34159775206013454	21	0.026330947875976562
BAG5	0.17233540877840792	25	0.21998637914657593
BAG6	0.9322890666648415	28	0.012704446911811829
BAIAP2L1	2.2335811533820076	16	0.005157470703125
BANF1	-0.2883033974003587	26	0.0032291412353515625
BAX	0.9728871629972438	28	8.20159912109375e-05
BAZ1B	1.4156988915981747	9	0.07421875
BBX	0.39476654918127907	6	0.0625
BCAM	-1.1090367426298067	22	0.030117511749267578
BCAP31	-0.011232750047071121	28	0.5979221016168594
