gene	spearman_r	n_samples
ANXA5	0.528823882503202	96
ANXA6	0.5070250583183044	96
ANXA7	0.2895958599142378	96
AOC1	0.6166185108316717	96
AOC3	0.524350208958117	96
AOX1	0.255522146836336	47
AP1B1	0.2910385756693294	96
AP1G1	0.4524613735943245	96
AP1G2	0.3361864906920156	96
AP1M1	0.42892025539120576	96
AP1M2	0.35649802967510863	96
AP1S1	0.25180583156424013	96
AP1S2	0.2971994134765729	67
AP2A1	0.23832713855503407	96
AP2A2	0.30923877287343227	96
AP2B1	0.16938760285611998	96
AP2M1	0.03535723490551961	96
AP2S1	0.1286786898840616	96
AP3B1	0.6831733199567291	96
AP3D1	0.06693050907007904	96
AP3M1	0.24237635315179387	96
AP3M2	0.4691114902861134	84
AP3S1	0.5116099254973007	96
AP4S1	0.5948051948051949	21
AP5B1	0.034562381297711456	83
AP5S1	-0.18489984773077214	35
AP5Z1	-0.04351447316974614	59
APAF1	0.39073829153136025	96
APBB1IP	0.3265865380661832	96
APBB2	0.5037145572051307	64
APEH	0.40750286563074395	96
APEX1	0.4201862490419637	96
APH1A	-0.41699604743083	23
API5	0.3138660635534802	96
APIP	0.15679525222642093	96
APLP2	0.3862014704774257	96
APMAP	0.6308371597745508	96
APOBEC3C	0.2325581400395627	45
APOBEC3F	0.5469767481906099	49
APOBEC3G	0.5569084384953433	53
APOBR	0.37232300012474245	96
APOC1	0.13390713384917127	96
APOC2	0.1422009286989415	90
APOD	0.21390758796223047	96
APOE	0.5660665294375616	96
APOL1	0.3165983416010917	93
APOL2	0.7347312517211009	96
APOL3	0.5732787564029151	96
APOM	0.11216411669131161	96
APOO	0.08081664490947844	96
APOOL	0.43147774486915036	96
APP	0.38128698603075445	96
APPL1	0.42359500265492284	96
APPL2	0.5548780489846995	96
APRT	0.2280447109464003	96
APTX	0.23161240819905726	69
AQP1	0.49360951993424484	94
AQP8	0.38578638783091973	73
AQR	0.18159497551513182	96
ARAF	0.15580723281422373	89
