gene	log2fc	pval	qval	n_pairs
DDT	-0.7212937500000004	2.9392723010333854e-14	1.5763051852624288e-13	96
DDX1	0.061758333333333366	0.0026025844305787218	0.003804911515526835	96
DDX10	0.4211937499999999	1.0235272801366605e-08	2.569926842229362e-08	80
DDX17	0.4235604166666665	2.943074790863126e-17	9.541570874547247e-16	96
DDX18	0.8685302083333336	1.780857763610672e-17	9.541570874547247e-16	96
DDX19A	0.0439510416666667	0.1990354467960883	0.22991198563274046	96
DDX19B	0.06540416666666667	0.16773921853906626	0.19585186167198076	96
DDX20	0.13575862068965522	0.0007204421065563697	0.0011157539457263815	87
DDX21	1.1280489583333335	1.781293897222056e-17	9.541570874547247e-16	96
DDX23	0.3084302083333332	1.2712114690888073e-13	6.0060265817724e-13	96
DDX24	0.39795104166666667	3.7792285297572115e-17	9.90542416694273e-16	96
DDX27	0.7696822916666664	2.2195826620055546e-17	9.541570874547247e-16	96
DDX28	0.020865624999999995	0.33102732851012606	0.3681190696128685	96
DDX31	0.3507108108108108	0.003158962179441005	0.004576436463370698	37
DDX39A	0.5316760416666665	1.3677880296147267e-15	1.0927095855126882e-14	96
DDX39B	0.25258541666666656	1.420208064528561e-12	5.672017253612271e-12	96
DDX3X	0.32587916666666655	4.694312253536014e-15	3.090690962607764e-14	96
DDX3Y	-0.33815932203389826	0.00018432643928099283	0.00030342302668082935	59
DDX41	0.3016206896551724	2.562061957139457e-10	7.666758996631854e-10	87
DDX42	0.1741302083333333	5.789599608005919e-12	2.1179929999225345e-11	96
DDX46	0.41983958333333343	5.4902478373613366e-17	1.1844456394976817e-15	96
DDX47	0.3887343750000001	6.252970982418393e-11	2.007233603877751e-10	96
DDX49	0.7634301369863016	3.3649357875711234e-10	9.9363354748304e-10	73
DDX5	0.814382291666667	1.7811848543493422e-17	9.541570874547247e-16	96
DDX50	0.28239270833333335	4.33205825743e-10	1.2647423345995593e-09	96
DDX51	0.36730128205128215	3.7291143207781374e-11	1.2318379112801833e-10	78
DDX52	0.6256427083333335	1.1517753094913196e-16	1.7888217246992375e-15	96
DDX54	0.4291302083333331	5.0846798962405825e-14	2.5862863854342735e-13	96
DDX55	0.13920980392156856	0.10093102240346627	0.12196437847709928	51
DDX56	0.5531104166666666	8.730778718885493e-17	1.5060435120994909e-15	96
DDX58	-0.048603125	0.27295046537389533	0.30818321645800467	96
DDX6	0.2337041666666666	2.3554943089294456e-13	1.0677710350410574e-12	96
DDX60	-0.27115520833333323	9.162157976284017e-08	2.0710551840596185e-07	96
DECR1	-0.02832291666666667	0.35330645565197694	0.39069276594183505	96
DECR2	0.1948697916666667	0.00020351729554277204	0.00033334900776280704	96
DEF6	-0.04188958333333331	0.8221813097018388	0.8426570778924902	96
DEFA1B	0.8386069444444444	4.2964198783979136e-05	7.469469024143976e-05	72
DEFA3	0.7161816091954026	0.00023707323354902083	0.00038558165427403173	87
DEFA4	0.06551458333333339	0.4670982655222343	0.5051196427125516	96
DEFA5	-0.4942797468354432	0.03848230844211509	0.049289386662495244	79
DEFA6	-0.5640583333333333	0.008465101033216632	0.01166886435830088	96
DEK	0.4617291666666665	6.894510760813235e-16	6.319026324357376e-15	96
DENND1A	-0.21753333333333333	0.005897641181945801	0.008289812421888618	24
DENND2D	-0.03836354166666666	0.33102732851012606	0.3681190696128685	96
DENND3	-0.27319838709677413	0.0001135747554522238	0.00019035049571045952	62
DENND4C	-0.026903125000000003	0.07046904972904966	0.08698746175385356	96
DENND6A	-0.3323333333333333	0.0012379884719848633	0.001874444743522105	24
DENR	-0.023453125000000005	0.3912020246062078	0.42934310209112514	96
DEPTOR	-0.36292413793103445	1.1190830963890853e-08	2.7941676567452077e-08	87
DERA	-0.1958624999999999	1.0339820729950305e-12	4.206783340038605e-12	96
DERL1	0.24887708333333344	4.3060639475265976e-08	1.0080035946949037e-07	96
