rank,gene,rna_lfc,rna_p,rna_q,mean_tumor_log2tpm,mean_normal_log2tpm,n_tumor,n_normal,prot_lfc,prot_p,prot_q,n_pairs,neglog10p,gen_p,gen_q,mut_freq,n_mutated,cds_len,n_patients,concordant,transcriptomic,proteomic,genomic,score,score_genomic_weighted
2954,BTN3A3,-0.1651022684430203,0.2962682138005656,0.3277168213831896,3.564378477739444,3.729480746182464,471,41,-0.5434985915492958,1.8709376414893627e-10,5.677123761534209e-10,71,0.099204976597702,0.7957836709281811,0.9999999997893128,0.0188679245283018,2,1755.0,106,True,0.1651022684430203,0.5434985915492958,0.099204976597702,0.43795093795093787,0.4086786229643372
2955,STRN3,-0.1333865362006228,0.2294195702323629,0.2577878028897143,3.9370177964559665,4.070404332656589,471,41,-0.5338677083333331,6.115398643982687e-16,5.762708190737161e-15,96,0.1158530350144418,0.7658557281729109,0.9999999997893128,0.0283018867924528,3,2394.0,106,True,0.1333865362006228,0.5338677083333331,0.1158530350144418,0.43791658077372364,0.41821273964131106
2956,EXOC6B,-0.4932076302620434,6.025000471392499e-10,1.5456149972018963e-09,2.7399659730762487,3.233173603338292,471,41,-0.4860343750000002,4.493391087891542e-15,2.9818161037254564e-14,96,0.0068488620955605,0.9843536089790564,0.9999999997893128,0.0094339622641509,1,2448.0,106,True,0.4932076302620434,0.4860343750000002,0.0068488620955605,0.43791658077372364,0.33457019171304886
2957,RBBP6,0.3883627633936206,5.47615810598643e-07,1.0629408178609831e-06,4.108975072145718,3.7206123087520977,471,41,0.4125260416666667,4.693823668752677e-15,3.0906909626077645e-14,96,0.0559211599677149,0.879182105444808,0.9999999997893128,0.0566037735849056,6,5379.0,106,True,0.3883627633936206,0.4125260416666667,0.0559211599677149,0.4379165807737236,0.37760255617398475
2958,ENOSF1,0.0152016978014146,0.9237173729507292,0.9329349460936682,3.2610096409820586,3.245807943180644,471,41,-0.6683224999999999,1.509910709731591e-13,7.054311247624822e-13,80,0.1477357558198763,0.7116463794275281,0.9999999997893128,0.0188679245283018,2,1476.0,106,False,0.0152016978014146,0.6683224999999999,0.1477357558198763,0.43784786641929496,0.4357864357864358
2959,WDR77,1.5987615024844164,7.377430373058953e-24,3.9251941480344783e-22,5.707179610511936,4.10841810802752,471,41,0.0527135416666666,0.1257339745924656,0.1497247489422882,96,0.0777227065462469,0.8361367142460061,0.9999999997893128,0.0094339622641509,1,1065.0,106,True,1.5987615024844164,0.0527135416666666,0.0777227065462469,0.4377791520648663,0.39306328592042883
2960,RCC1L,0.4933947875698026,2.7505342929101246e-14,1.1541496171655994e-13,5.697052784076829,5.203657996507026,471,41,0.1602041666666666,2.9316992926573924e-05,5.1759922511680114e-05,96,0.1660304426793074,0.6822908660183714,0.9999999997893128,0.0188679245283018,2,1395.0,106,True,0.4933947875698026,0.1602041666666666,0.1660304426793074,0.43774479488765206,0.44485673057101627
2961,BLOC1S6,0.2763139789743212,9.382492670264273e-05,0.0001494798972462,4.423516154781926,4.147202175807605,471,41,0.0695886075949367,0.0785189212911546,0.0963041029145075,79,0.6411600052245519,0.2284756885264053,0.9999999997893128,0.0188679245283018,2,534.0,106,True,0.2763139789743212,0.0695886075949367,0.6411600052245519,0.43774479488765194,0.5450937950937951
2962,THG1L,0.4015110651484219,4.6139504128034386e-08,9.860002514243582e-08,4.782394778225302,4.38088371307688,471,41,-0.2869229885057472,3.0211926716241983e-08,7.182559048166815e-08,87,0.1067759417126674,0.7820311607862344,0.9999999997893128,0.0094339622641509,1,897.0,106,False,0.4015110651484219,0.2869229885057472,0.1067759417126674,0.4376760805332234,0.41264687693259117
2963,CCDC91,-0.0279880525559268,0.4642301451193421,0.4980843951234922,3.023992580452846,3.051980633008773,471,41,-0.4992213483146066,3.5891631733965434e-14,1.8915707565056882e-13,89,0.1835006658804406,0.655389280959467,0.9999999997893128,0.0188679245283018,2,1326.0,106,True,0.0279880525559268,0.4992213483146066,0.1835006658804406,0.4376417233560091,0.4528963100391672
